Idol Type,Size,Affix Type,Content Tag,Affix,Stripped Affix,Range,,,,,,
Minor Idol,1x1,Prefix,Abyss,Your Maps have +(15–25)% chance to contain an Abyss,Your Maps have +#% chance to contain an Abyss,15–25,,,,,,
Minor Idol,1x1,Prefix,Abyss,Your Maps have (80–100)% increased chance to contain an Abyss,Your Maps have #% increased chance to contain an Abyss,80–100,,,,,,
Minor Idol,1x1,Prefix,Incursion,Your Maps have +(15–25)% chance to contain Alva,Your Maps have +#% chance to contain Alva,15–25,,,,,,
Minor Idol,1x1,Prefix,Incursion,Your Maps have (80–100)% increased chance to contain Alva,Your Maps have #% increased chance to contain Alva,80–100,,,,,,
Minor Idol,1x1,Prefix,Rogue Exiles,Your Maps have a (15–25)% chance to contain an additional Rogue Exile,Your Maps have a #% chance to contain an additional Rogue Exile,15–25,,,,,,
Minor Idol,1x1,Prefix,Rogue Exiles,Your Maps have +(7–10)% chance to contain a Rogue Exile,Your Maps have +#% chance to contain a Rogue Exile,7–10,,,,,,
Minor Idol,1x1,Prefix,Rogue Exiles,Map Bosses have (6–10)% chance to be accompanied by two Rogue Exile Bodyguards,Map Bosses have #% chance to be accompanied by two Rogue Exile Bodyguards,6–10,,,,,,
Minor Idol,1x1,Prefix,Rogue Exiles,Map Bosses have (2–3)% chance to be accompanied by two Rogue Exiles,Map Bosses have #% chance to be accompanied by two Rogue Exiles,2–3,,,,,,
Minor Idol,1x1,Prefix,Bestiary,Your Maps have +(15–25)% chance to contain Einhar,Your Maps have +#% chance to contain Einhar,15–25,,,,,,
Minor Idol,1x1,Prefix,Bestiary,Your Maps have (80–100)% increased chance to contain Einhar,Your Maps have #% increased chance to contain Einhar,80–100,,,,,,
Minor Idol,1x1,Prefix,Beyond,(15–25)% chance for your Maps to attract Beyond Demons,#% chance for your Maps to attract Beyond Demons,15–25,,,,,,
Minor Idol,1x1,Prefix,Blight,Your Maps have +(15–25)% chance to contain a Blight Encounter,Your Maps have +#% chance to contain a Blight Encounter,15–25,,,,,,
Minor Idol,1x1,Prefix,Blight,Your Maps have (80–100)% increased chance to contain a Blight Encounter,Your Maps have #% increased chance to contain a Blight Encounter,80–100,,,,,,
Minor Idol,1x1,Prefix,Breach,Your Maps have +(15–25)% chance to contain Breaches,Your Maps have +#% chance to contain Breaches,15–25,,,,,,
Minor Idol,1x1,Prefix,Breach,Your Maps have (80–100)% increased chance to contain a Breach,Your Maps have #% increased chance to contain a Breach,80–100,,,,,,
Minor Idol,1x1,Prefix,Breach,Your Maps which contain Breaches have (15–25)% chance to contain an additional Breach,Your Maps which contain Breaches have #% chance to contain an additional Breach,15–25,,,,,,
Minor Idol,1x1,Prefix,Maps,Map Bosses have (40–60)% increased chance to drop a Conqueror Map,Map Bosses have #% increased chance to drop a Conqueror Map,40–60,,,,,,
Minor Idol,1x1,Prefix,Delirium,Your Maps have +(15–25)% chance to contain a Mirror of Delirium,Your Maps have +#% chance to contain a Mirror of Delirium,15–25,,,,,,
Minor Idol,1x1,Prefix,Delirium,Your Maps have (80–100)% increased chance to contain a Mirror of Delirium,Your Maps have #% increased chance to contain a Mirror of Delirium,80–100,,,,,,
Minor Idol,1x1,Prefix,Delve,Your Maps have +(15–25)% chance to contain Niko,Your Maps have +#% chance to contain Niko,15–25,,,,,,
Minor Idol,1x1,Prefix,Delve,Your Maps have (80–100)% increased chance to contain Niko,Your Maps have #% increased chance to contain Niko,80–100,,,,,,
Minor Idol,1x1,Prefix,Delve,Your White Tier Maps grant (100–150) additional Voltaxic Sulphite on Completion,Your White Tier Maps grant # additional Voltaxic Sulphite on Completion,100–150,,,,,,
Minor Idol,1x1,Prefix,Delve,Your Yellow Tier Maps grant (150–200) additional Voltaxic Sulphite on Completion,Your Yellow Tier Maps grant # additional Voltaxic Sulphite on Completion,150–200,,,,,,
Minor Idol,1x1,Prefix,Delve,Your Red Tier Maps grant (200–250) additional Voltaxic Sulphite on Completion,Your Red Tier Maps grant # additional Voltaxic Sulphite on Completion,200–250,,,,,,
Minor Idol,1x1,Prefix,Shrine,Your Maps have +(7–10)% chance to contain a Shrine,Your Maps have +#% chance to contain a Shrine,7–10,,,,,,
Minor Idol,1x1,Prefix,Shrine,Your Maps have a (35–50)% chance to contain an additional Shrine,Your Maps have a #% chance to contain an additional Shrine,35–50,,,,,,
Minor Idol,1x1,Prefix,Essence,Your Maps have +(7–10)% chance to contain an Imprisoned Monster,Your Maps have +#% chance to contain an Imprisoned Monster,7–10,,,,,,
